experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:dataset.subset,dead_mean,dead_std
cmapss_ad,subset-FD003,cmapss:FD003,ad,Deep SVDD,0.7706118817042743,0.007592108982520589,0.502826857228813,0.03431203459232776,0.5101178325642789,0.003942211289606854,0.6513166776207681,0.013600073489479354,0.9589077516993744,0.014529852502444056,0.9362182213662921,0.007712787090826532,0.9707497314012313,0.016022309517671092,0.7181546254840345,0.01630105392091881,0.15186484654744467,0.004929268491663112,,,,,3,"[0, 1, 2]",FD003,,
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · 3 dead (exact marginal),0.722938913863907,0.018218379797765225,0.3776446052435751,0.02812882939880688,0.5110531654514062,0.009293032973425016,0.5612189594763202,0.03079780258898739,0.8894946603880488,0.013767434908521864,0.8694146032423542,0.015429902536594363,0.9826619954223346,0.001748080064447081,0.6917657526741806,0.030288870659968735,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · 3 dead (mean-imputed),0.7212760733740634,0.017773451572749628,0.37687116292212725,0.02743418185032675,0.5108268558725055,0.010088094203026369,0.5597917038938028,0.030222194826728794,0.8858833663894874,0.0139635391410664,0.8657691953467636,0.014580630573283343,0.987453105259271,0.002445107891286905,0.6901909673546868,0.028871024440912402,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0
cmapss_ad,subset-FD003,cmapss:FD003,ad,z-score (per channel) · 3 dead (imputed),0.7522271364476002,0.009902918378562248,0.3108208684472949,0.01605019036680292,0.5126411249034719,0.010597341803463323,0.5551672166324093,0.021892668589108752,0.8807211971147478,0.011118319417607624,0.8505394836164122,0.0010725777133636827,0.9523509948087735,0.0006366660937204759,0.8836286890916117,0.00630747964643148,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0
cmapss_ad,subset-FD003,cmapss:FD003,ad,moving-average residual · 3 dead (imputed),0.7171089831332386,0.01368395200140251,0.40479711980254723,0.020281796098256564,0.5444414530947741,0.006604323818515479,0.54059746652028,0.0394586110423615,0.7738061663813643,0.0227270172018855,0.7152480742672788,0.01726222389243952,0.9531859653731461,0.0005690641605183342,0.9256910709628992,0.011007208840029512,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0
cmapss_ad,subset-FD003,cmapss:FD003,ad,diagonal Gaussian · 3 dead (imputed),0.7094285313808758,0.016666588867497122,0.2881614961705535,0.0179428196153588,0.5100873429929745,0.009548819976859649,0.5582550199829682,0.027888862761857026,0.8594380110758122,0.016922362615679705,0.8447562974326503,0.007267759944574465,0.9922777228266684,4.176933912954901e-05,0.6758234146030354,0.025106575045256357,,,,,,,3,"[0, 1, 2]",FD003,3.0,0.0
cmapss_ad,subset-FD003,cmapss:FD003,ad,PC · structural-only score,0.6863517205076032,0.00939608320982489,0.27624064773883733,0.012144353406430787,0.5014946771506396,0.02670609755852305,0.5650259145621946,0.013353766643749791,0.8808577034899733,0.011504554193447453,0.7823324008176457,0.04637572690773942,0.8772278168449555,0.011814791954820884,0.6279981635979709,0.010521486288614955,,,,,,,3,"[0, 1, 2]",FD003,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,"RegionGraphPC [chain, K=8]",0.7891876294144144,0.004958055864921047,0.6126001401988072,0.010352428589973253,0.5605323300678601,0.017646722277754347,0.579323986221948,0.018116682544896186,0.9788991314335211,0.0028277077699996674,0.9656971667275475,0.0037556998815447226,0.981089387885035,0.002238833787010187,0.7763444890656541,0.01617452333644086,23.54594874382019,0.13692721924945317,17280.0,0.0,66.82024383544922,20.87073230010833,3,"[0, 1, 2]",FD004,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,z-score (per channel),0.7949726692156659,0.004078731873988242,0.5874002689725039,0.006858161986162698,0.5072120962621456,0.007601692600838493,0.5182066893316454,0.006597341341113485,0.977917670626217,0.003119265963128964,0.9528017171941375,0.004429973016704687,0.9466080113119649,0.0035122397522163,0.9433144783932415,0.0037912451512277347,0.1301562786102295,0.0037364820289132613,,,,,3,"[0, 1, 2]",FD004,,
cmapss_ad,subset-FD004,cmapss:FD004,ad,moving-average residual,0.7825286564786448,0.0039044252757121202,0.5925778515229885,0.009867472891257549,0.4989261714132837,0.00546063974140758,0.5051944790002889,0.00801193716745588,0.9504740064520716,0.007975190255415371,0.9133373746870133,0.011224075774561821,0.910995248088907,0.004801731607649747,0.9769981184510509,0.004609721171227749,0.9083258310953776,0.0033355715632047726,,,,,3,"[0, 1, 2]",FD004,,
