experiment,variant,dataset,stage,method,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,n_seeds,seeds,axis:dataset.subset,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std
cmapss_explain,subset-FD002,cmapss:FD002,explain,PC marginal (exact),0.8634529728867296,0.010596036116579341,0.6093409555573012,0.015766930191557345,217.33333333333334,19.65536398374076,0.9802186148336053,0.0031048450390262633,0.9942871579855526,0.002059361628782338,0.9896394254952353,0.0007258158577370899,0.48120273564611576,0.0434471367631841,0.4974960005902258,0.010860917069666954,0.07556270700332361,0.002558430060565303,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,PC structural (exact),0.6987248109879977,0.02162224132112427,0.36837496349069204,0.030214888219275433,217.33333333333334,19.65536398374076,0.7380796361543108,0.03247994911805463,0.6614252626532906,0.024476312657772704,0.6759480330470294,0.03205439076918166,0.6925423713978957,0.04551752902352055,0.6477003116774239,0.040593719148885425,0.05377250166530586,0.001557729862924101,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,PC Shapley (exact conditionals),0.8453513375889677,0.0018605060808148093,0.4944626763045005,0.022316056636848446,217.33333333333334,19.65536398374076,0.9746067952790621,0.0033704380528856797,0.8928892851338146,0.009469221962085904,0.8829806618522178,0.012776308705346259,0.6006848308338687,0.04186067137674026,0.6105328932367724,0.029820892430145136,0.06543534589589532,0.0026652086995561826,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,Gaussian conditional (exact),0.8143479231079734,0.0062056509384658416,0.4860698400074062,0.01639157659762656,217.33333333333334,19.65536398374076,0.9354636908541448,0.0018473614138114734,0.8539183441763986,0.012285516482470135,0.8340137123055017,0.009551180773702388,0.598134451534888,0.024301527463142684,0.6812498547152401,0.05290681999589071,0.1283664988006309,0.015267587453220025,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,AE reconstruction (per channel),0.7574924051257339,0.01010909567438912,0.4197126452501585,0.009165959735244786,217.33333333333334,19.65536398374076,0.7839047037397974,0.022243529547738262,0.7904973741897295,0.012243591410760432,0.8159690433201471,0.015186436993450106,0.48140262515368276,0.010060506693639126,0.5689889960146274,0.04448541945233631,0.18705593768260367,0.04182539128659179,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,AE sampling-SHAP (32/ch),0.7582862933665245,0.010174293365991256,0.44888411540401346,0.02940212575107802,217.33333333333334,19.65536398374076,0.8126501988820821,0.03463244487073968,0.8332025433360907,0.027735115254353366,0.872105483166858,0.005030198818195922,0.4600550706672653,0.021209473948833893,0.5114728645256571,0.03741188296664559,0.09835674531192358,0.007437369515627855,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,z-score (per channel),0.8556186730617609,0.002193235176652233,0.5851362757653629,0.022777590426955235,217.33333333333334,19.65536398374076,0.9924992886958698,0.002960190544773149,0.9723108507926618,0.010251137390902613,0.973927885863853,0.0014014639944231024,0.47442645325944205,0.06446354107245034,0.5210369924223381,0.021254240841127647,0.09222823341648978,0.00486922622386944,3,"[0, 1, 2]",FD002,,,,
cmapss_explain,subset-FD002,cmapss:FD002,explain,PC chain-rule completeness,,,,,,,,,,,,,,,,,,,3,"[0, 1, 2]",FD002,0.020833333333333332,0.009021097956087902,0.0005432612573107084,0.0001950989902917702
cmapss_explain,subset-FD001,cmapss:FD001,explain,PC conditional (exact),0.8624802519574134,0.008378863154208174,0.6288154245651704,0.01186676303201388,224.66666666666666,7.571877794400365,0.9893256148591446,0.0013475140502914782,0.9665980769268915,0.028856808852832358,0.9717298988471502,0.005161456192791007,0.47914672302668365,0.06751721740362558,0.5490593009042921,0.0359349857314412,0.06695925613487681,0.0008901274056156114,3,"[0, 1, 2]",FD001,,,,
cmapss_explain,subset-FD001,cmapss:FD001,explain,PC marginal (exact),0.8630074014993521,0.008389142601200404,0.6205098360501361,0.00834473496815487,224.66666666666666,7.571877794400365,0.9874017259803076,0.0014460667327389752,0.9816996347657588,0.018688193440637157,0.9713282512722369,0.004438560544283096,0.4822168349850055,0.0655235426096757,0.529785472645418,0.03780131939037438,0.0671857553333224,0.0008269330368833074,3,"[0, 1, 2]",FD001,,,,
cmapss_explain,subset-FD001,cmapss:FD001,explain,PC structural (exact),0.6019312544616309,0.018062989823471376,0.30412168874951734,0.02707001066002633,224.66666666666666,7.571877794400365,0.5673519385189159,0.02389470023335176,0.582359381817316,0.026276655796188035,0.6328586935161447,0.00957217215832974,0.47981486254204625,0.029696035418572974,0.6107975774758215,0.013228202550289446,0.07275681292754936,0.0027983786479852876,3,"[0, 1, 2]",FD001,,,,
