experiment,variant,dataset,stage,method,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,n_seeds,seeds,axis:dataset.subset,axis:eval.alpha,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,alpha_mean,alpha_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,SurvivalPC + split conformal (pit) · a=0.20,30.35061190389107,0.36592786166863944,25.511740333611478,0.43687943655386197,,,13.676572204617372,0.19592075532257106,0.40793205014042055,0.0038225846746442007,84.40954859921912,1.752710600359031,102.24227686827865,1.0415847254003165,,,,,5,"[0, 1, 2, 3, 4]",FD002,,,,,,4758.0,238.08926897279517,0.0,0.0,0.0,0.0,0.0,0.0,0.5269338702587005,0.019550397096826752,0.37644310135717124,0.00499951771652975,0.07276120226422791,0.004891832602766941,1.0,0.0,0.2,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD002,cmapss:FD002,calibration,quantile reg. + conformal (CQR) · a=0.20,19.30252506689694,0.2731533317322718,,,,,,,0.7455031166518256,0.004305730998271978,41.55868585131758,1.6332794221461917,65.6146793071387,1.030710528167475,,,,,5,"[0, 1, 2, 3, 4]",FD002,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC (raw exact predictive) · a=0.10,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,218846.6792755806,13809.161742644084,11.073656006522015,0.13524114199943668,0.39925333333333335,0.004665438991955024,68.67057777777778,1.6895724464644482,104.97919999999999,0.5485782656834368,0.21639466666666665,0.00742948839273458,18.311203384399413,0.6564626675838071,5,"[0, 1, 2, 3, 4]",FD001,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.9701688888888889,0.004284038708312636,73.67057777777778,1.6895724464644482,80.53564444444444,0.7402650442932356,0.526016023565816,0.013566534861141687,0.07901850306318661,0.002333332112819628,0.044973945095896244,0.02131116858546693,0.08333333333333333,0.0
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC + split conformal (cqr) · a=0.10,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,,,11.07365600547443,0.1352411485457316,0.9701688888888889,0.004284038708312636,73.67057777777778,1.6895724464644482,80.53564444444444,0.7402650442932356,,,,,5,"[0, 1, 2, 3, 4]",FD001,,2.5,0.0,0.5905878741485783,0.03597556661462999,1716.2,312.026761672777,0.0,0.0,0.0,0.0,0.006719999999999999,0.003004917779939666,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC + split conformal (pit) · a=0.10,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,,,11.07365600547443,0.1352411485457316,0.41102222222222223,0.0054054385050704866,74.37457777777777,2.1876040086737425,106.78097777777778,0.8891907487453548,,,,,5,"[0, 1, 2, 3, 4]",FD001,,,,,,1716.2,312.026761672777,0.0,0.0,0.0,0.0,0.0,0.0,0.5201806018226828,0.03617810662658133,0.37472852185357586,0.0101777032290862,0.03474962834955659,0.0059368920683493575,1.0,0.0,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,quantile reg. + conformal (CQR) · a=0.10,17.604809096173458,0.29150227541752016,,,,,,,0.8545422222222221,0.019701435681219664,50.77079012214661,2.550278430452335,72.00978853116354,1.7964763989001842,,,,,5,"[0, 1, 2, 3, 4]",FD001,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC (raw exact predictive) · a=0.20,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,218846.6792755806,13809.161742644084,11.073656006522015,0.13524114199943668,0.39925333333333335,0.004665438991955024,68.67057777777778,1.6895724464644482,86.82488888888888,1.071911733974441,0.21639466666666665,0.00742948839273458,18.311203384399413,0.6564626675838071,5,"[0, 1, 2, 3, 4]",FD001,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.9701688888888889,0.004284038708312636,73.67057777777778,1.6895724464644482,77.1031111111111,1.1842485558257212,0.526016023565816,0.013566534861141687,0.07901850306318661,0.002333332112819628,0.044973945095896244,0.02131116858546693,0.08333333333333333,0.0
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC + split conformal (cqr) · a=0.20,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,,,11.07365600547443,0.1352411485457316,0.9701688888888889,0.004284038708312636,73.67057777777778,1.6895724464644482,77.1031111111111,1.1842485558257212,,,,,5,"[0, 1, 2, 3, 4]",FD001,,2.5,0.0,0.5905878741485783,0.03597556661462999,1716.2,312.026761672777,0.0,0.0,0.0,0.0,0.006719999999999999,0.003004917779939666,,,,,,,,,0.2,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,SurvivalPC + split conformal (pit) · a=0.20,25.472654765937527,0.3046690828386254,20.27434239134047,0.4380039527767872,,,11.07365600547443,0.1352411485457316,0.38673777777777774,0.009263740545205738,64.98222222222223,2.612408075055904,84.71377777777778,1.2752763147696045,,,,,5,"[0, 1, 2, 3, 4]",FD001,,,,,,1716.2,312.026761672777,0.0,0.0,0.0,0.0,0.0,0.0,0.5201806018226828,0.03617810662658133,0.37472852185357586,0.0101777032290862,0.0666829339196156,0.010599811669239859,1.0,0.0,0.2,0.0,,,,,,,,,,,,,,
cmapss_calibration,subset-FD001,cmapss:FD001,calibration,quantile reg. + conformal (CQR) · a=0.20,17.47583701910011,0.39610638342914856,,,,,,,0.7465244444444444,0.028801755776383994,39.29635853322347,1.112091657045949,59.4162009528266,1.886003783917459,,,,,5,"[0, 1, 2, 3, 4]",FD001,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,,,,,,,,,,,,,,
