experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.vtree
cmapss_structure,vtree-spectral,cmapss:FD001,ad,"RegionGraphPC [spectral, K=8]",0.8431822856709871,0.004152990123727637,0.7241108111589926,0.0086427259681386,0.5146238630467913,0.04790850289057517,0.6780380538434346,0.049382773373278316,0.9993728699691887,0.0003236527234560438,0.9993861455740286,0.00017003960312363754,0.9999982072298833,3.1051689283395335e-06,0.94328102283193,0.013480250000398807,208.57244698206583,0.28162802683099025,157440.0,0.0,56.824225107828774,2.31347333937575,3,"[0, 1, 2]",spectral
cmapss_structure,vtree-spectral,cmapss:FD001,ad,PC · structural-only score,0.7244580523461006,0.026548064366216175,0.5753974306826709,0.013163049228653375,0.5070850649892913,0.014917107979205164,0.8157566942852025,0.03777111564955339,0.9707700041917713,0.010230035737696304,0.9589664281796209,0.021092095647803927,0.3253838320960067,0.22722151959779652,0.5492315390634296,0.02257141597354527,,,,,,,3,"[0, 1, 2]",spectral
cmapss_structure,vtree-orc_rg,cmapss:FD001,ad,"RegionGraphPC [orc_rg, K=8]",0.8484933711826553,0.007805322046373118,0.7284329914946867,0.005082429891822534,0.510941063093372,0.03546062591288331,0.7109187365405876,0.0416914660069061,0.9991568130531402,0.0005039221030654124,0.9993188954615929,0.00022570403413924625,1.0,0.0,0.9409164698140099,0.011541816389463978,1075.9558952649434,36.346742003030286,147080.0,0.0,61.52376174926758,6.211016111177015,3,"[0, 1, 2]",orc_rg
cmapss_structure,vtree-orc_rg,cmapss:FD001,ad,PC · structural-only score,0.7277023096918699,0.006821961361514372,0.581839828480693,0.004176732496374475,0.49519440990308655,0.035648834522426856,0.8188206227404485,0.026309909812130508,0.9706667364967533,0.0071582558274821285,0.9595974531650645,0.016233179568859953,0.296704569108107,0.05838197202273228,0.5834886877997172,0.035738337458806835,,,,,,,3,"[0, 1, 2]",orc_rg
cmapss_structure,vtree-time,cmapss:FD001,ad,"RegionGraphPC [time, K=8]",0.8327859253886256,0.007594220171964355,0.6911857182796816,0.006180273385044327,0.5054852804346778,0.04628277338339985,0.6779703287384314,0.028777217331385094,0.997523743298394,0.0016603180847617638,0.9983159873338089,0.0001648013619962032,0.999767678663945,2.3983246648790477e-05,0.9022386131354398,0.01500957976700913,224.65691757202148,3.1449606133384207,157440.0,0.0,72.43942896525066,13.291304131703148,3,"[0, 1, 2]",time
cmapss_structure,vtree-time,cmapss:FD001,ad,PC · structural-only score,0.7304862377958309,0.00633254332995728,0.5295081884395918,0.003554403076731847,0.48200940010771126,0.019878901241064624,0.7631108142332396,0.006662775031857714,0.948965488505897,0.006007363691770297,0.9540292932617577,0.009219505219064002,0.6844718275975853,0.004059520515231296,0.5363099203824624,0.0355635227196661,,,,,,,3,"[0, 1, 2]",time
cmapss_structure,vtree-chow_liu,cmapss:FD001,ad,"RegionGraphPC [chow_liu, K=8]",0.851189012672091,0.007510543443538034,0.7352111482530027,0.004079735959024755,0.5121857912342427,0.05510435297562376,0.7198688306422705,0.04267323772928607,0.9993844386999396,0.000327730894844837,0.9995057262235852,0.00012721854904417697,1.0,0.0,0.9444688943171746,0.006227296232439231,268.3305246035258,6.077086841148592,157440.0,0.0,68.22840627034505,4.310218999622001,3,"[0, 1, 2]",chow_liu
cmapss_structure,vtree-chow_liu,cmapss:FD001,ad,PC · structural-only score,0.7240317044612706,0.006954965529978431,0.5784539653787598,0.005266193775195583,0.4905894541581497,0.02352541728204567,0.8142791446508412,0.02162193036320844,0.9724712423783247,0.007949087272407384,0.9626317381280911,0.01596815446512993,0.26383053216660857,0.011988036892741577,0.5826181362388795,0.02105365666736605,,,,,,,3,"[0, 1, 2]",chow_liu
cmapss_structure,vtree-random,cmapss:FD001,ad,"RegionGraphPC [random, K=8]",0.8348496234764181,0.006585795963178723,0.6943372876500935,0.007046377955002916,0.5137663457433718,0.044665725997153405,0.6786917007567178,0.03261765002185013,0.9980166515006825,0.0010550843461989356,0.9984188020139705,0.00030876745651615744,0.9998378820742365,2.799897764829367e-05,0.9034302478568453,0.006445994613356381,235.2107720375061,0.036806818999236116,157440.0,0.0,64.12461980183919,19.539755829220983,3,"[0, 1, 2]",random
cmapss_structure,vtree-random,cmapss:FD001,ad,PC · structural-only score,0.742466220117123,0.004340365141737167,0.5663249944642267,0.005703091950385942,0.49581596419907475,0.02598110527226663,0.7821516166029955,0.015695535911831985,0.9616184256114475,0.006130567904460481,0.960720857215534,0.014222552865610456,0.687715402231802,0.0184866776119445,0.5470179175359801,0.017521786200917964,,,,,,,3,"[0, 1, 2]",random
