variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,trial_fpr_mean_mean,trial_fpr_mean_std,trial_fpr_q05_mean,trial_fpr_q05_std,trial_fpr_q95_mean,trial_fpr_q95_std,trial_fpr_exceeds_alpha_frac_mean,trial_fpr_exceeds_alpha_frac_std,trial_power_mean_mean,trial_power_mean_std,trial_infinite_threshold_frac_mean,trial_infinite_threshold_frac_std,trial_calibration_objects_mean,trial_calibration_objects_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
chow_liu_leaf6,circuit,random1:1,conditional_max,0.1,0.0,0.12107495009567852,0.08234215860218844,0.6963117196736054,0.020422977467342267,25.63177375793457,1.6602556534469994,0.12107495009567856,0.08234215860218846,0.12107495009567852,0.08234215860218844,0.12107495009567852,0.08234215860218844,0.8,0.4472135954999579,0.6963117196736052,0.020422977467342427,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,independent,0.1,0.0,0.09140861818969705,0.08313674192308065,0.5195669154852572,0.11367978108687037,76.50762710571288,50.14147990611731,0.09140861818969703,0.08313674192308064,0.09140861818969705,0.08313674192308065,0.09140861818969705,0.08313674192308065,0.6,0.5477225575051662,0.5195669154852574,0.11367978108687044,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,joint,0.1,0.0,0.07397460750712453,0.08247176454801264,0.602377855478785,0.08189230353499888,45.27927360534668,21.239360139497343,0.07397460750712453,0.08247176454801262,0.07397460750712453,0.08247176454801264,0.07397460750712453,0.08247176454801264,0.4,0.5477225575051662,0.602377855478785,0.08189230353499884,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,marginal_max,0.1,0.0,0.10935127924320495,0.06434326232705301,0.6161577869806446,0.029275196027808346,28.224603271484376,3.4638961902174894,0.10935127924320498,0.06434326232705301,0.10935127924320495,0.06434326232705301,0.10935127924320495,0.06434326232705301,0.6,0.5477225575051662,0.6161577869806447,0.02927519602780831,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random1:1,relational_max,0.1,0.0,0.06084576109380383,0.04273041794737489,0.5179132021768743,0.050645900236943056,4.754570770263672,1.616268064259065,0.06084576109380382,0.04273041794737488,0.06084576109380383,0.04273041794737489,0.06084576109380383,0.04273041794737489,0.2,0.44721359549995804,0.5179132021768743,0.05064590023694302,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,conditional_max,0.1,0.0,0.11352413450493237,0.09196644889270485,0.6610797927467766,0.029799935579006835,26.96609992980957,2.8391943870043126,0.11352413450493234,0.09196644889270486,0.11352413450493237,0.09196644889270485,0.11352413450493237,0.09196644889270485,0.6,0.5477225575051662,0.6610797927467766,0.029799935579006835,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,independent,0.1,0.0,0.06686787952035439,0.07962534030082284,0.4913377165867683,0.10072864298125687,49.33868217468262,35.218579463385424,0.06686787952035439,0.07962534030082284,0.06686787952035439,0.07962534030082284,0.06686787952035439,0.07962534030082284,0.4,0.5477225575051662,0.4913377165867683,0.10072864298125689,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,joint,0.1,0.0,0.06969612724215322,0.08869476787214525,0.5782452256580285,0.09452717771791995,27.353775596618654,18.213233902785927,0.06969612724215322,0.08869476787214527,0.06969612724215322,0.08869476787214525,0.06969612724215322,0.08869476787214525,0.4,0.5477225575051662,0.5782452256580285,0.0945271777179199,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,marginal_max,0.1,0.0,0.09397619184077177,0.057670851625413716,0.59114344015561,0.03904492549820993,28.549010467529296,2.710246156846055,0.09397619184077174,0.05767085162541371,0.09397619184077177,0.057670851625413716,0.09397619184077177,0.057670851625413716,0.4,0.5477225575051662,0.59114344015561,0.0390449254982099,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
chow_liu_leaf6,circuit,random3:5-8-14,relational_max,0.1,0.0,0.047764411648329744,0.06959306896603754,0.44536111057307226,0.07243885705682612,6.157755661010742,3.038302633423826,0.04776441164832974,0.06959306896603752,0.047764411648329744,0.06959306896603754,0.047764411648329744,0.06959306896603754,0.2,0.44721359549995804,0.44536111057307226,0.07243885705682616,0.0,0.0,10.0,0.0,5,"[21, 22, 23, 24, 25]",0.0,0.0,0.0,0.0
