variant,method_name,mask,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,cost_passes_mean,cost_passes_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_n_masks_mean,cost_n_masks_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,n_observed_mean,n_observed_std,oracle_max_error_mean,oracle_max_error_std,n_seeds,seeds,mask_shared_frac
matched,gmm_fitted,full,2.398876477001371,0.8583017849221994,0.10127537000031832,0.14787377993884682,62.0,0.0,4182400.0,287412.73458216846,1.0,0.0,13070.0,898.1647955692764,27239061.333333332,11794859.544954546,15.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,random1:1,1.9279847806671266,0.6904233342467005,0.016117443667705327,0.00655362881105007,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,47506880.0,20571082.467269436,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,random3:5-8-14,1.2461017986667382,0.556249435107026,0.013029923666181276,0.0054800514234066705,50.0,0.0,2718560.0,186818.2774784095,1.0,0.0,13070.0,898.1647955692764,61187797.333333336,26495093.4461402,12.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,random7:3-4-8-10-11-12-14,0.2969369123335734,0.15948222228339773,0.0065182056653914815,0.0020234064265310828,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,65106496.0,28191939.74369497,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched,gmm_fitted,single_sensor_0,0.0029986033332534134,0.00038676768426360405,0.0008104469998215791,0.00014396370139089032,4.0,0.0,34853.333333333336,2395.1061215180703,1.0,0.0,13070.0,898.1647955692764,105334250.66666667,45611068.48296564,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,circuit,bank0:0-1-2-4-5-7-8,1.0206252363326105,0.0602808204791744,0.6109631640004712,0.10847071803044424,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.6067097981770832e-05,7.221105379486432e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,bank1:3,1.1019108686656789,0.20573212682461386,0.584154127999985,0.16600558625642522,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,3.5921732584635414e-05,5.422821715428664e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,bank2:6-10,1.0799668356667098,0.09537616761640363,0.5499047979998674,0.10096858734340912,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,13.0,0.0,2.0821889241536457e-05,5.728664808572165e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,full,1.1549271733323014,0.1521413275858766,0.5035580086672174,0.031133447332097563,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,15.0,0.0,2.2729237874348957e-05,3.449524945292585e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,random1:1,1.0239703403337141,0.0756872430930991,0.5228754983339362,0.06090887936944529,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,14.0,0.0,2.4159749348958332e-05,1.1012082465927615e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,random3:5-8-14,1.1056670903320385,0.21010061599709454,0.6010015083326531,0.19274598651393568,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,12.0,0.0,2.4159749348958332e-05,5.827046324355875e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,random7:3-4-8-10-11-12-14,1.1674473513315509,0.18056369951230136,0.5317659216671018,0.07784920021896594,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.7020772298177082e-05,6.3498765167993474e-06,3,"[11, 12, 13]",1.0
matched_nearest,circuit,single_sensor_0,1.0159113733340444,0.06402406288827606,0.5974673413329583,0.09712190694682311,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,1.0,0.0,2.86102294921875e-06,9.5367431640625e-07,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,bank0:0-1-2-4-5-7-8,0.1125665589994848,0.04554601610280286,0.0029375293330910304,8.528387578424095e-05,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,25883840.0,0.0,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,bank1:3,0.6970632060001662,0.12517572497064267,0.006576019666681532,0.0005155669169068411,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,32941280.0,0.0,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,bank2:6-10,0.5478706750000129,0.08669441181182211,0.006006544333407267,0.0004655620344723587,54.0,0.0,3171653.3333333335,217954.6570581444,1.0,0.0,13070.0,898.1647955692764,39499520.0,0.0,13.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,full,0.8591968033336647,0.12900231675387,0.007845052667107666,0.0004392810232329284,62.0,0.0,4182400.0,287412.73458216846,1.0,0.0,13070.0,898.1647955692764,10214400.0,0.0,15.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,random1:1,0.7140715349996754,0.11808013131441472,0.006626574333495228,0.0003452513192088549,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,17814720.0,0.0,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,random3:5-8-14,0.43884698500066105,0.07125451325534687,0.00512915666574069,8.470330566629637e-05,50.0,0.0,2718560.0,186818.2774784095,1.0,0.0,13070.0,898.1647955692764,22944960.0,0.0,12.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,random7:3-4-8-10-11-12-14,0.11351959433280474,0.043824952034484985,0.0029911263336543925,3.052852009388751e-05,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,24414400.0,0.0,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gaussian_fitted,single_sensor_0,0.0021009650008636527,8.580028148809507e-05,0.0005977883350472742,1.70612093886927e-05,4.0,0.0,34853.333333333336,2395.1061215180703,1.0,0.0,13070.0,898.1647955692764,39499520.0,0.0,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,bank0:0-1-2-4-5-7-8,0.2957047216671829,0.16515266726332,0.006470097333173423,0.002092999415723645,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,69025194.66666667,29888786.04124974,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,bank1:3,1.7915896676665095,0.6032076528510613,0.015258218666228155,0.005333099745063212,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,87845312.0,38038135.897685,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,bank2:6-10,1.4355216420008219,0.47858903883308185,0.013769197334719744,0.005736934549053747,54.0,0.0,3171653.3333333335,217954.6570581444,1.0,0.0,13070.0,898.1647955692764,105334250.66666667,45611068.48296564,13.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,full,2.227241062667114,0.7836397567840107,0.019350105666186817,0.0073254325337348426,62.0,0.0,4182400.0,287412.73458216846,1.0,0.0,13070.0,898.1647955692764,27239061.333333332,11794859.544954546,15.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,random1:1,1.8300638596653396,0.6372039595376908,0.01554527133339434,0.005548067173615363,58.0,0.0,3659600.0,251486.1427593974,1.0,0.0,13070.0,898.1647955692764,47506880.0,20571082.467269436,14.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,random3:5-8-14,1.0964711296680132,0.4113362465628423,0.011798331333314612,0.004060895934893589,50.0,0.0,2718560.0,186818.2774784095,1.0,0.0,13070.0,898.1647955692764,61187797.333333336,26495093.4461402,12.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,random7:3-4-8-10-11-12-14,0.29897915299928474,0.16623575476576247,0.006412120665724312,0.0018809225631692397,34.0,0.0,1254720.0,86223.82037465053,1.0,0.0,13070.0,898.1647955692764,65106496.0,28191939.74369497,8.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_nearest,gmm_fitted,single_sensor_0,0.00285031000142529,0.00044253757672717904,0.0007169056674077486,0.00011783759645143623,4.0,0.0,34853.333333333336,2395.1061215180703,1.0,0.0,13070.0,898.1647955692764,105334250.66666667,45611068.48296564,1.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0
matched_tight,circuit,bank0:0-1-2-4-5-7-8,0.982688481999503,0.0057074477027939914,0.5482058019988472,0.11280623697003157,6.0,0.0,21924489.333333332,1506641.505740942,2.0,0.0,13070.0,898.1647955692764,245760.0,0.0,8.0,0.0,2.6067097981770832e-05,7.221105379486432e-06,3,"[11, 12, 13]",1.0
