run_dir,seed,mask_index,a,b,score,metric,interpretation,auroc_delta,ci_low,ci_high,bootstrap_reps_used,n_units,loc_ap_delta,end_to_end_unique_top1_delta,refused,reason
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask4.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.12732684472612044,-0.1656692679069145,-0.09167401751431266,1000,10,,,,
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask4.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.25194134149823466,-0.19653867359472532,1000,10,-0.2238902153247555,,,
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask4.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.4056446553116154,-0.3490171392297926,1000,10,,-0.38085106382978723,,
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask4.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.12672928927116345,-0.1579416759194085,-0.09580300970485751,1000,10,,,,
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask4.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2600711297123017,-0.19643595305746697,1000,10,-0.2281056285095283,,,
matched/seed11,11,4,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask4.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask4.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.4289074639732646,-0.33741693037974696,1000,10,,-0.3851063829787234,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask5.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.14501810774105928,-0.16596210377766055,-0.12199731346641257,1000,10,,,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask5.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2907028643996674,-0.24834548609702642,1000,10,-0.2683981270110657,,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask5.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.4087430691454664,-0.34077838491756035,1000,10,,-0.3787234042553192,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask5.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.14743549117247623,-0.17090876875040736,-0.12020491980064578,1000,10,,,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask5.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.2877729118654714,-0.251095805296105,1000,10,-0.26866825831738117,,,
matched/seed11,11,5,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask5.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask5.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.40507956600361655,-0.3387397427623087,1000,10,,-0.374468085106383,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask6.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.10797419646899054,-0.12645128288997992,-0.08811758180739629,1000,10,,,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask6.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.28351050083701484,-0.24048658249578111,1000,10,-0.2613942637390531,,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gaussian_fitted_mask6.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.3781021397594305,-0.29101494602667455,1000,10,,-0.3340425531914894,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask6.npz,relational_max,auroc,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,-0.09550701674966044,-0.121342209533648,-0.06683968697445922,1000,10,,,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask6.npz,relational_max,loc_ap,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.28677323032179863,-0.24156761430306678,1000,10,-0.26592292305706927,,,
matched/seed11,11,6,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_mask6.npz,logs/ts/ws/diagnosis_donors/matched/seed11/artifacts/diagnosis_gmm_fitted_mask6.npz,relational_max,end_to_end_unique_top1,exploratory paired engine-bootstrap difference; training-seed variability is a separate axis,,-0.24717287650704992,-0.16066470132164945,1000,10,,-0.20638297872340428,,
