variant,method_name,mask,score,alpha_mean,alpha_std,fpr_mean,fpr_std,power_mean,power_std,threshold_mean,threshold_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,circuit,single_sensor_0,independent,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,single_sensor_0,joint,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.11082394917806,0.6078342052436464,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,single_sensor_0,marginal_max,0.05000000000000001,8.498374721940739e-18,0.055,0.019999999999999997,0.05833333333333334,0.010408329997330667,8.110824267069498,0.6078342664014009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
blocked,circuit,single_sensor_0,relational_max,0.05000000000000001,8.498374721940739e-18,0.0,0.0,0.0,0.0,0.0,0.0,3,"[11, 12, 13]",1.0,0.0,0.0,0.0
blocked,known_law_oracle,bank0:0-1,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,bank0:0-1,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,bank0:0-1,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,bank0:0-1,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,bank0:0-1,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,conditional_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,independent,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,joint,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,marginal_max,,,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,relational_max,,,,,,,,,3,"[11, 12, 13]",,,,
conditional,circuit,bank0:0-1,conditional_max,0.05000000000000001,8.498374721940739e-18,0.055,0.031224989991991994,0.055,0.031224989991991994,8.74583880106608,0.9544692108664473,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,independent,0.05000000000000001,8.498374721940739e-18,0.05666666666666667,0.05107184482014854,0.05666666666666667,0.05107184482014854,16.141529083251953,1.692629004699639,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,joint,0.05000000000000001,8.498374721940739e-18,0.06166666666666667,0.05204164998665332,0.06166666666666667,0.05204164998665332,15.618199666341146,1.6868004323599273,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,marginal_max,0.05000000000000001,8.498374721940739e-18,0.06,0.03774917217635375,0.06,0.03774917217635375,9.064939181009928,0.9701570211270698,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,relational_max,0.05000000000000001,8.498374721940739e-18,0.07166666666666667,0.020207259421636897,0.07166666666666667,0.020207259421636897,0.6191183725992838,0.2691359572102708,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,full,conditional_max,0.05000000000000001,8.498374721940739e-18,0.041666666666666664,0.02254624876411447,0.12666666666666668,0.05131601439446884,9.55523681640625,0.7698354516938648,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,full,independent,0.05000000000000001,8.498374721940739e-18,0.049999999999999996,0.03905124837953327,0.03,0.026457513110645904,31.917680104573567,2.8132310589346097,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,full,joint,0.05000000000000001,8.498374721940739e-18,0.051666666666666666,0.04193248541803042,0.06666666666666667,0.05686240703077327,29.716994603474934,2.464912221084845,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,full,marginal_max,0.05000000000000001,8.498374721940739e-18,0.04,0.02645751311064591,0.04833333333333334,0.041633319989322654,10.003398895263672,1.0571480042819346,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
