variant,method_name,mask,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,n_seeds,seeds
conditional,circuit,random3:1-2-3,0.35834647680618614,0.02728677326013845,0.13636167678922437,0.028096688368594414,0.9507917430026837,0.006036086123489384,0.35834647680618614,0.02728677326013845,0.0,0.0,,,0.3583464527656461,0.027286751208429865,3,"[11, 12, 13]"
conditional,circuit,single_sensor_0,0.35834647680618614,0.02728677326013845,0.13636167678922437,0.028096688368594414,0.9507917430026837,0.006036086123489384,0.35834647680618614,0.02728677326013845,0.0,0.0,,,0.3583464527656461,0.027286751208429865,3,"[11, 12, 13]"
conditional_nll_selection,circuit,bank0:0-1,2.1122100196557705,0.00624240528702147,1.9578524232550618,0.03385816376929027,0.3930743376984531,0.04697533805915817,0.40214271677911806,0.020219238206173894,2.002308361528812,0.009282797587812692,0.3410978966099623,0.03645410712564484,2.2206811343695203,0.009658838639261796,3,"[11, 12, 13]"
conditional_nll_selection,circuit,full,3.0632997042811927,0.12828365570426484,0.7745906184410102,0.10427181787046197,0.4695651777246191,0.05160365106038996,0.3762470803468912,0.016215917075975965,2.981182281751901,0.1274205513405475,0.5026493506044462,0.027506691026552305,6.461115494418327,0.3714653810692186,3,"[11, 12, 13]"
conditional_nll_selection,circuit,random1:0,2.4640787612698243,0.06227099901248928,2.3109743607582054,0.08340147426068545,0.3149087756809465,0.07099060064510815,0.3822139481937929,0.02217271290352378,2.3612708323360496,0.04362339076444595,0.3163971633921289,0.0576989932797382,4.417728459674383,0.13558910629719587,3,"[11, 12, 13]"
conditional_nll_selection,circuit,random2:1-2,3.526954965975951,0.3022105005420622,-1.2499632096607607,0.2361569818955217,0.5688625076252029,0.05328754640263457,0.38562869195695787,0.038768113260467606,3.50488411459292,0.30058625757021223,0.5162933897194565,0.08500875015279755,3.55358983654352,0.3117992358619359,3,"[11, 12, 13]"
conditional_nll_selection,circuit,random3:1-2-3,0.35834647680618614,0.02728677326013845,0.13636167678922437,0.028096688368594414,0.9507917430026837,0.006036086123489384,0.35834647680618614,0.02728677326013845,0.0,0.0,,,0.3583464527656461,0.027286751208429865,3,"[11, 12, 13]"
conditional_nll_selection,circuit,single_sensor_0,0.35834647680618614,0.02728677326013845,0.13636167678922437,0.028096688368594414,0.9507917430026837,0.006036086123489384,0.35834647680618614,0.02728677326013845,0.0,0.0,,,0.3583464527656461,0.027286751208429865,3,"[11, 12, 13]"
interface,circuit,bank0:0-1,2.075858499376902,0.03664364490423059,1.9018872104728377,0.010383137256395543,0.3798911636059052,0.06368795194452677,0.36857266507256975,0.03864043736907937,1.9653917198999185,0.042337757776008386,0.3507680350436791,0.04585385578632953,2.184919179042316,0.035236857734751395,3,"[11, 12, 13]"
interface,circuit,full,3.0344469860666137,0.0368512908667672,0.7250668592547423,0.15597043428209176,0.4655960094301031,0.02397920100906941,0.3604444687962292,0.02255982470076967,2.9570095620690893,0.03701148588885343,0.49404520324355294,0.05587728870143659,6.399490718219475,0.1667331395948257,3,"[11, 12, 13]"
interface,circuit,random1:0,2.4405517783166712,0.0728222172641324,2.285269530535546,0.09927184912532652,0.3057345877461613,0.06317634341308827,0.36060247576691845,0.01901086756240106,2.337993644435419,0.0666690739685834,0.31429884293379806,0.05319796935005432,4.394716913227689,0.14607748511427976,3,"[11, 12, 13]"
interface,circuit,random2:1-2,3.5694369956482475,0.2000079666474638,-1.3135288350104413,0.24537491561343094,0.5421491821977624,0.0010576829508256928,0.3705794209502946,0.021254921316820476,3.5476882967729804,0.19493812567408264,0.4789382051303029,0.02446942603312322,3.596055551877498,0.2097726347467839,3,"[11, 12, 13]"
interface,circuit,random3:1-2-3,0.3599704478841615,0.033962269995043454,0.12701044096241418,0.02463883631445194,0.9506225803813084,0.00856823540793011,0.3599704478841615,0.033962269995043454,0.0,0.0,,,0.3599703902663382,0.03396231430962806,3,"[11, 12, 13]"
interface,circuit,single_sensor_0,0.3599704478841615,0.033962269995043454,0.12701044096241418,0.02463883631445194,0.9506225803813084,0.00856823540793011,0.3599704478841615,0.033962269995043454,0.0,0.0,,,0.3599703902663382,0.03396231430962806,3,"[11, 12, 13]"
interface_conditional,circuit,bank0:0-1,2.0645776341470063,0.04590652395911265,1.8973945634210263,0.03049196526441291,0.4000236026266168,0.05868558811469751,0.3671534561909215,0.02908586066937111,1.9577445078281128,0.04930334385896463,0.3653036136208469,0.03743507757152765,2.1702468966219204,0.044383287949015776,3,"[11, 12, 13]"
interface_conditional,circuit,full,3.0003929854039115,0.047460026425958375,0.704559561639532,0.1642561665917618,0.4859276016290042,0.021924835499022653,0.35544983383552303,0.01667591853647623,2.9205428510264433,0.047613631919134515,0.5263274798183509,0.02772823468660815,6.3462959208996255,0.20703041897975838,3,"[11, 12, 13]"
interface_conditional,circuit,random1:0,2.404883427029326,0.06151702078675929,2.2434374445552367,0.08865304636990519,0.3155386201037424,0.05411534910102765,0.36028289943967584,0.016386059390994908,2.3021878377818825,0.059968073841869855,0.3194116224130878,0.044872092483022014,4.314421294655587,0.11854851838724244,3,"[11, 12, 13]"
interface_conditional,circuit,random2:1-2,3.4594190662672317,0.20287033841286095,-1.2791599743881943,0.2725936462370114,0.587663303496521,0.02885316926913789,0.35629660658118584,0.019151067741136833,3.432029691822306,0.19450139476902528,0.5328226136288626,0.05754724708847378,3.487848337702704,0.21001387216992445,3,"[11, 12, 13]"
interface_conditional,circuit,random3:1-2-3,0.34095063702306483,0.02352134004303631,0.11843840135822715,0.04521663283793417,0.9515281669619226,0.008499608978276806,0.34095063702306483,0.02352134004303631,0.0,0.0,,,0.3409506555005048,0.02352129633567217,3,"[11, 12, 13]"
interface_conditional,circuit,single_sensor_0,0.34095063702306483,0.02352134004303631,0.11843840135822715,0.04521663283793417,0.9515281669619226,0.008499608978276806,0.34095063702306483,0.02352134004303631,0.0,0.0,,,0.3409506555005048,0.02352129633567217,3,"[11, 12, 13]"
mixture,circuit,bank0:0-1,1.8109110502303374,0.02807808941140012,1.5968358286861735,0.02348943842353643,0.4474781829349543,0.10492363314845021,0.3826468600904173,0.03146905290725558,1.6823947889686799,0.02037852961568967,0.4941046833753171,0.05172585749556778,1.951026135898144,0.04038519178885564,3,"[11, 12, 13]"
