variant,method_name,mask,score,auroc_mean,auroc_std,ap_mean,ap_std,fpr_mean,fpr_std,power_mean,power_std,score_range_mean,score_range_std,n_seeds,seeds,numerically_flat_frac,threshold_infinite_frac,depends_on_values_frac,depends_on_fault_frac
blocked,known_law_oracle,bank0:0-1,relational_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,conditional_max,0.9254000000000001,0.00731368580129059,0.9409425870159445,0.006300026681139945,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,independent,0.5234166666666666,0.004127070187594757,0.4953227809589944,0.004301656105251656,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,joint,0.888475,0.0024337471109381866,0.9132739110151573,0.001032124340263655,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,marginal_max,0.5722833333333334,0.003110122920936335,0.5452595549502569,0.009046311259488038,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,full,relational_max,0.9431249999999999,0.012824561396008816,0.9551837990249066,0.009499754655342517,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,conditional_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,independent,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,joint,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,marginal_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random1:0,relational_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,conditional_max,0.8997083333333333,0.017445349189206105,0.9215935540339588,0.01225211038186652,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,independent,0.5248166666666666,0.0021939310229205926,0.49429167426924797,0.008234105479264342,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,joint,0.8479749999999999,0.01524223162794738,0.879711434295874,0.008830852631302356,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,marginal_max,0.56655,0.011713393775930205,0.5462341318002347,0.004067795251284844,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random2:1-2,relational_max,0.9314250000000001,0.014618844858606306,0.9447480208963511,0.010502674899999056,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,conditional_max,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,independent,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,joint,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,marginal_max,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,random3:1-2-3,relational_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,conditional_max,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,independent,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,joint,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,marginal_max,0.48662500000000003,0.006084868527749771,0.4983624026561697,0.008169094318119742,,,,,,,3,"[11, 12, 13]",,,,
blocked,known_law_oracle,single_sensor_0,relational_max,0.5,0.0,0.5,0.0,,,,,,,3,"[11, 12, 13]",,,,
conditional,circuit,bank0:0-1,conditional_max,0.5,0.0,0.5,0.0,0.055,0.031224989991991994,0.055,0.031224989991991994,13.921568870544434,4.62376252048516,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,independent,0.5,0.0,0.5,0.0,0.05666666666666667,0.05107184482014854,0.05666666666666667,0.05107184482014854,23.286518096923828,6.322715715596332,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,joint,0.5,0.0,0.5,0.0,0.06166666666666667,0.05204164998665332,0.06166666666666667,0.05204164998665332,22.970605214436848,6.201197600581871,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,marginal_max,0.5,0.0,0.5,0.0,0.06,0.03774917217635375,0.06,0.03774917217635375,14.149819056193033,4.774253579992672,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,bank0:0-1,relational_max,0.5,0.0,0.5,0.0,0.07166666666666667,0.020207259421636897,0.07166666666666667,0.020207259421636897,2.714560031890869,0.27568819028296576,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
conditional,circuit,full,conditional_max,0.65125,0.009378299419404336,0.6522351797908921,0.01344533593124462,0.041666666666666664,0.02254624876411447,0.12666666666666668,0.05131601439446884,15.596669514973959,3.007891551388009,3,"[11, 12, 13]",0.0,0.0,0.0,0.0
