experiment,variant,dataset,stage,method,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,picp_edge_mean,picp_edge_std,mpiw_edge_mean,mpiw_edge_std,interval_score_edge_mean,interval_score_edge_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,pit_mean_mean,pit_mean_std,pit_var_mean,pit_var_std,pit_ks_mean,pit_ks_std,pit_var_target_mean,pit_var_target_std,fit_s_mean,fit_s_std,params_mean,params_std,censored_frac_mean,censored_frac_std,n_seeds,seeds,axis:dataset.censor_frac,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_exact_marginal_edge_mean,picp_exact_marginal_edge_std,picp_imputed_mean,picp_imputed_std,picp_imputed_edge_mean,picp_imputed_edge_std,marginal_pit_mean_mean,marginal_pit_mean_std,marginal_pit_var_mean,marginal_pit_var_std,marginal_pit_ks_mean,marginal_pit_ks_std,marginal_pit_var_target_mean,marginal_pit_var_target_std
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,SurvivalPC (drop censored) [all],25.62944093031116,2.4167428422209483,21.064029347426803,1.7416854873591863,151492.1191896357,51168.4248244898,11.215625610885297,1.172015238792283,0.4072296296296296,0.002052800957118689,69.87585185185185,4.184893451647973,104.79674074074074,4.433231395839097,0.9756444444444444,0.0023917553861464314,74.87585185185185,4.184893451647973,80.74962962962962,4.474894121560524,0.2431348148148148,0.002803050660283411,20.267738342285156,0.5563347996912223,0.5764874667103563,0.008102705077996717,0.07465168723366683,0.0016292847850514203,0.11787136889414744,0.015014532156588297,0.08333333333333333,0.0,114.910981575648,7.342560793100289,43356.0,0.0,0.2594802180926005,0.03650266613353068,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,SurvivalPC (drop censored) [last],25.7819761605664,2.100567086104281,20.360032148361203,1.787779338905537,6406.2086127226285,4093.9138905420828,13.92721003555756,1.0718005342208419,0.8233333333333334,0.011547005383792462,78.21666666666667,5.696563291435751,100.31666666666666,9.11047931413783,0.9499999999999998,0.010000000000000009,83.21666666666667,5.696563291435751,96.61666666666667,9.62812719760875,0.05100000000000001,0.004358898943540676,30.376955032348633,2.449383214058156,0.4291234973854629,0.011568522568064933,0.06251188570337864,0.004388927277490194,0.18044621579539533,0.007332051392640291,0.08333333333333333,0.0,114.910981575648,7.342560793100289,43356.0,0.0,0.2594802180926005,0.03650266613353068,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,SurvivalPC (exact censored lik.) [all],24.45693243879489,1.6156936514197375,19.278283568996855,1.3416327174554779,188805.8415355424,64469.85333657444,10.588023046596179,0.7876083874703618,0.3983407407407407,0.004445629471647069,66.21244444444444,3.070461162934064,102.28296296296297,4.004383014286078,0.9700148148148148,0.003439590367035567,71.21244444444444,3.070461162934064,77.79970370370371,3.9526291630270034,0.21460740740740744,0.00638953053138667,19.18515904744466,1.3587271598094448,0.5171174856696807,0.010528086365200208,0.08033813811141273,0.0011175895022448577,0.0312905511804124,0.012659655516734418,0.08333333333333333,0.0,154.552454551061,4.462640429418242,43356.0,0.0,0.2594802180926005,0.03650266613353068,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,SurvivalPC (exact censored lik.) [last],27.40430210720635,2.5328774287823927,21.261451183954875,1.885617405196331,10302.309010356246,6808.191643840734,15.186678641721135,1.348320523246959,0.8166666666666665,0.005773502691896198,78.36666666666666,3.5345909711497514,103.66666666666667,8.638479804533508,0.9466666666666667,0.005773502691896262,83.36666666666666,3.5345909711497514,99.56666666666666,8.547124272720815,0.10266666666666668,0.020599352740640516,30.019055048624676,2.627141632910003,0.36201583976529506,0.0177749235812035,0.05770876452470803,0.005411048475311338,0.27356834066445,0.03615931059531289,0.08333333333333333,0.0,154.552454551061,4.462640429418242,43356.0,0.0,0.2594802180926005,0.03650266613353068,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,ridge regression [all],18.088182737108465,0.3277946578767289,14.596212720785795,0.33668229062056976,29824.833330480145,250.95441169765658,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011425256729125977,0.001029531592724646,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,ridge regression [last],17.914534733793573,0.2678110307848945,14.475246660726112,0.20199909738207733,634.1789104777555,34.44548207251211,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011425256729125977,0.001029531592724646,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,MLP regressor [all],17.531518170497243,0.3010539606968888,13.497589205946747,0.2892696882600914,48176.86543984909,8784.4332052836,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2283905347188313,0.1428229868205422,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,MLP regressor [last],17.054451888209165,0.6330380286116811,12.473277045438687,0.40237910205741867,727.1572201582529,142.750311692039,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2283905347188313,0.1428229868205422,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,quantile reg. + conformal (CQR) [all],17.347373796924334,0.8209660902381303,13.367639756245083,0.9288073424124024,44179.88483801779,6283.741248980805,,,0.8337777777777777,0.01607488647887265,46.55319727049934,0.7715009982456614,71.40141473423994,2.973015048182376,,,,,,,,,,,,,,,,,,,1.099014679590861,0.10840342219542896,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmapss_rul,censor_frac-0.35,cmapss:FD001,rul,quantile reg. + conformal (CQR) [last],16.682604771410904,0.2840920874267518,12.11301208893458,0.42029399251180055,665.8624655389675,90.02897645070165,,,0.8833333333333333,0.020816659994661344,45.3980948249499,0.3996597865259015,72.71522510449093,2.036069497706904,,,,,,,,,,,,,,,,,,,1.099014679590861,0.10840342219542896,,,,,3,"[0, 1, 2]",0.35,6121.0,395.2758530444277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
