experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.K,axis:model.leaf_components
capacity_sweep,K-8_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=8]",0.7527944028564196,0.008114662090609275,0.5037201071626499,0.011770549522312823,0.5059188068876465,0.01422386480488878,0.5430273150077632,0.023213107263130608,0.9495724279267534,0.0056333935828908575,0.9388974035087608,0.01993569835154655,0.9999603547388439,1.363096862571944e-05,0.7270715299547738,0.02002201982565159,15.623770236968994,0.17500452457643023,15360.0,0.0,189.43604024251303,1.904499991559904,3,"[0, 1, 2]",8,1
capacity_sweep,K-8_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5820407818600014,0.0030092254697949724,0.18956905972230498,0.00866334607140841,0.49326751209310365,0.035463947950478185,0.5105169534856019,0.001302157447485816,0.6484189804493223,0.006246612099215593,0.6326514333788534,0.01959615199657706,0.7434980643200153,0.04129228272100961,0.5601633326501086,0.020832335149748155,,,,,,,3,"[0, 1, 2]",8,1
capacity_sweep,K-4_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=4]",0.7501895691526411,0.00650440623584798,0.5006207380378516,0.00823270471876851,0.5039476579191143,0.01530011796365311,0.5410875594057966,0.0184733797991485,0.9473541470877628,0.007860405467555587,0.9360722097009577,0.017776256587425245,0.9999640137642808,1.8909847870492028e-05,0.7222503740512486,0.02370769551126408,11.25055734316508,0.034082455788160826,3888.0,0.0,190.17284647623697,0.647989040495941,3,"[0, 1, 2]",4,1
capacity_sweep,K-4_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5741666347926524,0.0025894123197101743,0.20424254560244762,0.0068810148977513875,0.49642002736046836,0.0383485661072375,0.5113213378682501,0.006899817205653509,0.6573551444924338,0.005282987178054272,0.6269472189026472,0.01804786703655104,0.6645379612767434,0.08137084647505882,0.5455000969856028,0.019723702315361736,,,,,,,3,"[0, 1, 2]",4,1
capacity_sweep,K-12_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=12]",0.7521551412257207,0.007516126463881193,0.503877485254811,0.011075251843147723,0.5039299706299092,0.0164524890936196,0.5431720598015201,0.022080395317828776,0.948897469114378,0.0060162133531108854,0.9387657381934992,0.019139323215527002,0.9999639770216789,1.5578053918730834e-05,0.7262525357097999,0.019749511771714516,20.42727279663086,0.06435805678635455,41328.0,0.0,189.76425170898438,9.090406676218667,3,"[0, 1, 2]",12,1
capacity_sweep,K-12_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5772081209577636,0.013681814396275287,0.18537770224731345,0.007294964005761369,0.49620439498732266,0.039686121994073634,0.5070289375806524,0.005016737231841827,0.6398526027202136,0.003263451327360199,0.6214154932635799,0.019417099043311577,0.72574027353396,0.12478008242525693,0.561200023331253,0.022744010200064696,,,,,,,3,"[0, 1, 2]",12,1
capacity_sweep,K-2_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain, K=2]",0.7509260007156998,0.006124493050160457,0.501502752659538,0.008341103960111618,0.5039244181043511,0.01500741109039353,0.5416313036006174,0.0195006709393151,0.9478599431463754,0.007820373378543346,0.9369760460273877,0.01693592501304928,0.9999639845936272,1.1201022046723403e-05,0.7240551544384003,0.022571823050231064,9.501141707102457,0.4532543898778461,1428.0,0.0,189.0309600830078,2.6982161299837935,3,"[0, 1, 2]",2,1
capacity_sweep,K-2_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.5349591200535454,0.00790272538727491,0.17673564779910556,0.00508781621269181,0.4853424091926173,0.042176481467107785,0.5264623416723521,0.013079029438590978,0.6441748092762093,0.002499965736275583,0.622935590840398,0.011291739238212679,0.23475166321381322,0.002147892478241178,0.5296561882959819,0.01953973129475529,,,,,,,3,"[0, 1, 2]",2,1
capacity_sweep,K-2_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=2]",0.8127855869512007,0.008608007623728597,0.6372009093492674,0.014496711264987886,0.49742703929050497,0.040505739226516166,0.638565075302059,0.051482966420697995,0.9920573636894643,0.005086909587550083,0.9933853762032404,0.0017067789801990182,0.9999171509978435,7.994107279749893e-06,0.8572674000208945,0.004664101786439078,9.91451589266459,0.014227896771611138,5628.0,0.0,139.81678263346353,3.020718169230889,3,"[0, 1, 2]",2,3
capacity_sweep,K-2_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7302069847302421,0.0022451928536868547,0.507116764089231,0.03176660906765989,0.4958982527247214,0.01779474707465783,0.7161586618088321,0.030792704824310006,0.9275874860220438,0.017312549144300922,0.9356699193151914,0.022393905879338198,0.7518610855582756,0.13234406650873282,0.5770171080212301,0.03368823601529278,,,,,,,3,"[0, 1, 2]",2,3
capacity_sweep,K-4_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=4]",0.8276507861472607,0.012199076410775882,0.6664207396488145,0.018275058804666275,0.5091280577572789,0.04466157934737045,0.663123073622265,0.02885378588582562,0.9962225146264488,0.0023124433882443433,0.9968893747836735,0.000915584849204613,0.9998702946862147,9.449872884333606e-06,0.8901553609025464,0.004416768008304436,11.420331160227457,2.1314285128881205,12288.0,0.0,117.384765625,4.5653221741361145,3,"[0, 1, 2]",4,3
capacity_sweep,K-4_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7628811563702897,0.01365716621364108,0.5696990028266663,0.018670862709169535,0.49951021639373466,0.02515063607477126,0.6921103363047512,0.011430718703967644,0.9609708636129307,0.017793109023792466,0.9568911734121062,0.0032826338392457485,0.9730744732725817,0.0175283970802399,0.624594522054254,0.031480883247467735,,,,,,,3,"[0, 1, 2]",4,3
capacity_sweep,K-16_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain, K=16]",0.8370139112259435,0.004232972786556848,0.6873300458238075,0.005152349232029214,0.5239357294739243,0.05088826595316368,0.6914383698215906,0.03479386628606899,0.9974781319106292,0.0016065541463033692,0.9984039963054903,0.00037957045182280413,0.9998432701908144,1.8815751520978825e-05,0.8940589618049563,0.01574616641729747,29.021686553955078,4.905192781971118,122304.0,0.0,80.9679463704427,3.7485448846465723,3,"[0, 1, 2]",16,3
capacity_sweep,K-16_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7764864760991159,0.013122443706295856,0.603732464631166,0.01477617405175208,0.5022006912361311,0.01289402424064173,0.7471313699417163,0.026797539123856094,0.9661929530053185,0.0032849634117069156,0.9674006868266273,0.011078472425247229,0.8467187787729697,0.11594020765979295,0.6747419168556154,0.006092031939093754,,,,,,,3,"[0, 1, 2]",16,3
