experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,axis:model.vtree,axis:model.leaf_components
cmapss_structure_x_leaves,vtree-chain_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7790691152190994,0.0027296541031972456,0.5905718692992409,0.0060901917344886045,0.47315278393799426,0.026556026822800876,0.7456918895390016,0.007257482475888883,0.9611156529505905,0.001452027350130834,0.9625892981031599,0.008638114016541128,0.9798790666541407,0.008885575835220861,0.6677101491724752,0.0236603060879265,,,,,,,3,"[0, 1, 2]",chain,3
cmapss_structure_x_leaves,vtree-random_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [random, K=8]",0.8088517492885857,0.008218325335123787,0.6141369531307149,0.014023956686386107,0.5087712230178533,0.020243978466130196,0.61891287513073,0.03611292382784644,0.991574377590084,0.0030746073591409115,0.9895807311203946,0.006768734519286478,0.9999333853573461,1.09345966461137e-05,0.849226333493328,0.023163021288205195,17.332113027572632,0.12889522720853147,174240.0,0.0,126.83642323811848,21.841692952442745,3,"[0, 1, 2]",random,3
cmapss_structure_x_leaves,vtree-random_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.730300908407432,0.015571272344527971,0.5512723956000856,0.022264470654738102,0.4929383388604666,0.0320495048467899,0.7602371312654879,0.007386777256384807,0.9444084033236093,0.017395340761514107,0.9498328469240055,0.012525478934342289,0.6987064305699343,0.03712847291659656,0.531648746328715,0.037350876476998036,,,,,,,3,"[0, 1, 2]",random,3
cmapss_structure_x_leaves,vtree-time_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [time, K=8]",0.8324853796360757,0.005956145184215274,0.685877739214369,0.007212586904838259,0.5061642975031365,0.03793846185901876,0.6778677427726416,0.031880814536412797,0.9966726995976383,0.002239421850257864,0.9980616307253212,0.0004135359016652777,0.9997568085880356,1.2464249995093895e-06,0.90155467118575,0.01107436161562179,17.239818414052326,0.08958143371747197,157440.0,0.0,82.89682515462239,5.478936504457615,3,"[0, 1, 2]",time,1
cmapss_structure_x_leaves,vtree-time_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.7274775557069492,0.005886166034825796,0.5256029584185088,0.00479102836632643,0.48080466734949406,0.013115501218220667,0.7595148282803601,0.012693962432954335,0.9508128044755729,0.0055438356715196155,0.9546411399402035,0.006702208650717745,0.681913050227834,0.01694410171614156,0.5251376115571492,0.02446065790279946,,,,,,,3,"[0, 1, 2]",time,1
cmapss_structure_x_leaves,vtree-chain_perm_features_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chain_perm_features, K=8]",0.7923073466616506,0.002874272997180399,0.5948517926027364,0.008098694115569422,0.504273415800955,0.02500545977292817,0.5894098320516954,0.03177243803897317,0.9855820827015266,0.008738651680051718,0.9844767962413831,0.004887973544413425,0.9999369924962846,1.8820835000818204e-05,0.8075739982135559,0.02918776919963132,7.150044918060303,0.03557682844784257,15360.0,0.0,162.30099487304688,15.856125335092631,3,"[0, 1, 2]",chain_perm_features,1
cmapss_structure_x_leaves,vtree-chain_perm_features_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.678777079368261,0.0035033175429894452,0.2661990200852043,0.02127003704399034,0.4857703324189025,0.029383822226451334,0.6012357558268571,0.009144239173298482,0.8407241721954462,0.024060765750329602,0.8496337793258396,0.0030682263543747226,0.7876562050233327,0.0333460969405069,0.5783292217906967,0.02388904456836958,,,,,,,3,"[0, 1, 2]",chain_perm_features,1
cmapss_structure_x_leaves,vtree-chow_liu_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [chow_liu, K=8]",0.8538779770102134,0.004843463057572853,0.7318747638550863,0.004564404571656993,0.526628889693562,0.05711746672995288,0.7254627211901497,0.032606665718047496,0.9992116701595325,0.0006228751585416934,0.9994731735107826,8.568097158470373e-05,1.0,0.0,0.9400400389473665,0.008555523607968912,19.427349011103313,0.07558248187440078,157440.0,0.0,66.31677881876628,3.9882668355274693,3,"[0, 1, 2]",chow_liu,1
cmapss_structure_x_leaves,vtree-chow_liu_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.7266142340320857,0.009085653698727896,0.5785155122970829,0.004542183925157412,0.48987877077484127,0.05095059837143646,0.8169171656410222,0.012471331397055134,0.9720110151740934,0.008463407466661778,0.9634518573187658,0.015799671354885858,0.29008942051449904,0.03889116250660935,0.5838254319230683,0.00918521795822889,,,,,,,3,"[0, 1, 2]",chow_liu,1
cmapss_structure_x_leaves,vtree-random_leaf_components-1,cmapss:FD001,ad,"RegionGraphPC [random, K=8]",0.8387826318816786,0.0035247604640397143,0.6971765076854076,0.004191383807236352,0.5134716362335211,0.03881615545158367,0.6951569788070993,0.017818747556970913,0.9980581734757322,0.0011363177936097072,0.9986257241103212,0.0002022187350698748,0.9998721090550365,2.5453268359572726e-06,0.9080562710763899,0.014043052598298645,17.056456089019775,0.051028308625288094,157440.0,0.0,67.32975514729817,14.189899849993937,3,"[0, 1, 2]",random,1
cmapss_structure_x_leaves,vtree-random_leaf_components-1,cmapss:FD001,ad,PC · structural-only score,0.7487597763576618,0.00655185618129985,0.5644493424423684,0.019919636113666515,0.5016403343576732,0.00794401102514214,0.7959388238123427,0.008964595276651601,0.957815576964756,0.003535443139890494,0.9638471029403498,0.011158239350985992,0.6918681623349947,0.011718414324359864,0.5597070291007964,0.029675687513649955,,,,,,,3,"[0, 1, 2]",random,1
cmapss_structure_x_leaves,vtree-chain_perm_blocks_leaf_components-3,cmapss:FD001,ad,"RegionGraphPC [chain_perm_blocks, K=8]",0.8277625209089726,0.007727282891028243,0.6697352817673302,0.014191777584731113,0.5083822927244652,0.04278783217139382,0.6694385281126699,0.03859425625199432,0.9964707031660117,0.002106533627983069,0.9975268939661538,0.0009275043165543937,0.9998739883439889,4.855941467105931e-05,0.8836873298168664,0.005928415049019701,7.398998022079468,0.04429455707231746,32160.0,0.0,99.39231618245442,2.8362201849155366,3,"[0, 1, 2]",chain_perm_blocks,3
cmapss_structure_x_leaves,vtree-chain_perm_blocks_leaf_components-3,cmapss:FD001,ad,PC · structural-only score,0.7831735996890266,0.007936714778911006,0.5811442198637277,0.019953867526334965,0.49674116742049956,0.01770109493210708,0.7551496209805446,0.01477877768866714,0.9576025861302361,0.003932083058117727,0.9693238278116625,0.005503657079820449,0.9479916865951957,0.06120589066872021,0.6687667147130248,0.018210414967715537,,,,,,,3,"[0, 1, 2]",chain_perm_blocks,3
