experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,dead_mean,dead_std,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,alpha_mean,alpha_std,diag_q_hat_mean,diag_q_hat_std,diag_raw_cal_coverage_mean,diag_raw_cal_coverage_std,diag_n_cal_mean,diag_n_cal_std,diag_frac_clipped_lo_mean,diag_frac_clipped_lo_std,diag_frac_clipped_hi_mean,diag_frac_clipped_hi_std,diag_frac_full_range_mean,diag_frac_full_range_std,diag_pit_mean_mean,diag_pit_mean_std,diag_pit_sd_mean,diag_pit_sd_std,diag_lo_level_mean,diag_lo_level_std,diag_hi_level_mean,diag_hi_level_std,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std,censored_frac_mean,censored_frac_std,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_imputed_mean,picp_imputed_std
smoke,default,synthetic,explain,PC Shapley (exact conditionals),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8299696180555557,0.004886428059547624,0.6305555555555554,0.009622504486493759,15.0,0.0,0.9841269841269841,0.0,0.8993055555555558,0.01202813060811719,0.8837535014005603,0.004851682934366618,0.7110636277302945,0.00575705396627832,0.8571428571428572,1.1595901302887535e-16,0.21326830904356367,0.0071460505390646585,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,explain,Gaussian conditional (exact),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7473958333333334,0.0,0.5777777777777776,1.1595901302887535e-16,15.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.7647058823529411,0.0,0.717948717948718,0.0,1.0,0.0,0.3951803456519012,0.012478682033495881,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,explain,AE reconstruction (per channel),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7387152777777778,0.0,0.5,0.034815531191139566,15.0,0.0,1.0,0.0,0.7187499999999999,0.010879853497231078,0.8277310924369748,0.004388512335017634,0.5584045584045584,0.005951372853186268,0.8571428571428572,1.1595901302887535e-16,0.3338502134397519,0.018144844170485317,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,explain,AE sampling-SHAP (4/ch),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515625,0.004079945061461668,0.22777777777777777,0.017407765595569783,15.0,0.0,0.880952380952381,0.02486823656509972,0.3854166666666667,0.05439926748615558,0.5924369747899159,0.004388512335017577,0.43874643874643876,0.002975686426593134,0.5714285714285713,1.1595901302887535e-16,0.5789269948126529,0.03965963812147325,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,explain,z-score (per channel),,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8194444444444445,1.1595901302887535e-16,0.6111111111111109,1.1595901302887535e-16,15.0,0.0,1.0,0.0,0.9375,0.0,0.8151260504201682,1.1595901302887535e-16,0.8119658119658121,1.1595901302887535e-16,0.0,0.0,0.209886472574217,0.0025127330911241487,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,explain,PC chain-rule completeness,,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.814697265625e-06,0.0,1.0132789611816406e-06,1.7971476589308003e-07,,,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,SurvivalPC (drop censored),,,,,,,,,,,,,,,,,1.0647686123847961,0.7386728834193592,864.0,0.0,,,1,[0],,,40.75405061955656,0.13141915447889835,36.429108353882405,0.10766269766240942,67014.61083493478,2301.084519519753,20.63960895115445,0.10216973182648857,0.5847457627118643,1.1595901302887535e-16,114.24983806394589,0.07067376280212949,155.84592224379716,0.07067376280212949,0.10184557438794724,0.0018266449194699961,4.008409738540649,0.21074265209200035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445062518119812,0.0,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,SurvivalPC (exact censored lik.),,,,,,,,,,,,,,,,,1.6585893829663594,1.11225358961555,864.0,0.0,,,1,[0],,,40.542289127044995,0.17479388421633466,36.04224494172579,0.09996097479535564,79092.09340079945,5346.989535942143,20.63412148368011,0.12045753566710679,0.5847457627118643,1.1595901302887535e-16,113.03083302408963,0.053005322101595066,154.6269172039409,0.05300532210159506,0.10483521657250472,8.154664819062915e-05,4.019908209641774,0.17551588242961064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0445062518119812,0.0,,,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,ridge regression,,,,,,,,,,,,,,,,,0.001906295617421468,0.003334443102766929,,,,,1,[0],,,25.015083335386578,1.0274430983958229e-14,20.557055377716416,9.640651303754568e-15,6980.441830936816,2.1241219951521715e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,0.0,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,MLP regressor,,,,,,,,,,,,,,,,,0.30265076955159503,0.4253607015930125,,,,,1,[0],,,33.89038397569581,0.0817447936668926,27.45335425405628,0.06410174886693193,167613.2564832963,16915.541631761815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,0.0,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,quantile reg. + conformal (CQR),,,,,,,,,,,,,,,,,0.1656683087348938,0.08391980014912685,,,,,1,[0],,,37.3553738629756,0.026229593030225852,29.69404118635785,0.03446144378320444,285037.7160978485,2694.376489198537,,,0.9237288135593219,1.1595901302887535e-16,142.1069544387627,0.5749803169078986,174.31473569703869,0.2549987597330429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,0.0,,,,,,,,,,,,,,,,,,
smoke,default,synthetic,rul,PC · 3 dead sensors,,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,21.016625532212128,0.0,21.11366868607829,0.0,21.16865331409654,0.0,41.09733425532777,0.0,41.2510782723267,0.0,41.30438665831302,0.0,0.5847457627118644,0.0,0.5847457627118644,0.0
smoke,default,synthetic,rul_partial,PC · 3 dead sensors,,,,,,,,,,,,,,,,,,,,,,,1,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,20.59934838835902,7.228772609414685e-07,20.728418947322382,1.4162247444323992e-07,20.910514831674224,1.7654824044129957e-06,40.491830479019285,5.97417566363708e-06,40.70575423952559,3.384840818921194e-06,40.92346348088162,5.2823495363298595e-06,0.5847457627118643,1.1644117316690923e-16,0.5847457627118643,1.1644117316690923e-16
