experiment,variant,dataset,stage,method,log_partition_mean,log_partition_std,leaf_mean,leaf_std,sum_mean,sum_std,product_mean,product_std,nodes_mean,nodes_std,parameters_mean,parameters_std,optimizer_steps_mean,optimizer_steps_std,epochs_run_mean,epochs_run_std,best_epoch_mean,best_epoch_std,checkpoint_nll_mean,checkpoint_nll_std,fit_s_mean,fit_s_std,final_train_nll_mean,final_train_nll_std,lr_mean,lr_std,epochs_budget_mean,epochs_budget_std,batch_size_mean,batch_size_std,n_seeds,seeds,axis:variant,axis:model.lr,axis:model.epochs,shortcut_auroc_mean,shortcut_auroc_std,shortcut_channel_mean,shortcut_channel_std,shortcut_n_dev_mean,shortcut_n_dev_std,shortcut_n_eval_mean,shortcut_n_eval_std,shortcut_features_mean,shortcut_features_std,oracle_max_error_mean,oracle_max_error_std,query_s_mean,query_s_std,warmup_s_mean,warmup_s_std,n_mean,n_std,n_observed_mean,n_observed_std,n_observed_min_mean,n_observed_min_std,n_observed_max_mean,n_observed_max_std,cost_passes_mean,cost_passes_std,cost_node_visits_mean,cost_node_visits_std,cost_boundary_visits_mean,cost_boundary_visits_std,cost_n_masks_mean,cost_n_masks_std,cost_seconds_mean,cost_seconds_std,cost_node_evaluations_mean,cost_node_evaluations_std,cost_boundary_elements_mean,cost_boundary_elements_std,cost_output_elements_mean,cost_output_elements_std,cost_peak_boundary_bytes_mean,cost_peak_boundary_bytes_std,empirical_log_dependence_mean_mean,empirical_log_dependence_mean_std,empirical_log_dependence_abs_mean_mean,empirical_log_dependence_abs_mean_std,empirical_log_dependence_sd_mean,empirical_log_dependence_sd_std,empirical_log_dependence_q05_mean,empirical_log_dependence_q05_std,empirical_log_dependence_q95_mean,empirical_log_dependence_q95_std,oracle_conditional_bias_mean,oracle_conditional_bias_std,oracle_conditional_mae_mean,oracle_conditional_mae_std,oracle_conditional_max_abs_mean,oracle_conditional_max_abs_std,oracle_conditional_corr_mean,oracle_conditional_corr_std,oracle_marginal_bias_mean,oracle_marginal_bias_std,oracle_marginal_mae_mean,oracle_marginal_mae_std,oracle_marginal_max_abs_mean,oracle_marginal_max_abs_std,oracle_marginal_corr_mean,oracle_marginal_corr_std,oracle_R_bias_mean,oracle_R_bias_std,oracle_R_mae_mean,oracle_R_mae_std,oracle_R_max_abs_mean,oracle_R_max_abs_std,oracle_R_corr_mean,oracle_R_corr_std,oracle_log_px_bias_mean,oracle_log_px_bias_std,oracle_log_px_mae_mean,oracle_log_px_mae_std,alpha_mean,alpha_std,calibration_n_mean,calibration_n_std,threshold_mean,threshold_std,score_range_mean,score_range_std,fpr_mean,fpr_std,power_mean,power_std,auroc_mean,auroc_std,ap_mean,ap_std,auroc[independent_block]_mean,auroc[independent_block]_std,loc_ap_mean,loc_ap_std,loc_ap_n_mean,loc_ap_n_std,loc_n_no_observed_target_mean,loc_n_no_observed_target_std,loc_n_all_observed_are_targets_mean,loc_n_all_observed_are_targets_std,loc_n_ambiguous_mean,loc_n_ambiguous_std,loc_n_unique_mean,loc_n_unique_std,loc_n_abstained_no_alarm_mean,loc_n_abstained_no_alarm_std,loc_unique_top1_accuracy_mean,loc_unique_top1_accuracy_std,end_to_end_unique_top1_mean,end_to_end_unique_top1_std
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,known-law error full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5700924586837752e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.850462293418876e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,joint | full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,17.91450230193044,0.8029985958891804,63.27637329993559,16.883520915475263,0.06166666666666667,0.03752776749732568,0.6849999999999999,0.03499999999999997,0.888475,0.0024337471109381866,0.9132739110151573,0.001032124340263655,0.888475,0.0024337471109381866,0.938888888888889,0.004455281925651481,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,63.0,7.0,0.8916666666666667,0.012583057392117928,0.6633333333333334,0.028867513459481315
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,independent | full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,30.394810637944857,1.7456559266015603,37.673969515783064,12.89465205486235,0.05000000000000001,0.03,0.03333333333333333,0.020816659994661327,0.5234166666666666,0.004127070187594757,0.4953227809589944,0.004301656105251656,0.5234166666666666,0.004127070187594757,0.5505555555555555,0.020165690977315714,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,193.33333333333334,4.163331998932265,0.34,0.027838821814150105,0.0033333333333333335,0.002886751345948129
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,marginal_max | full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,9.192884101667678,0.7963954592303953,11.261155906764195,2.2620011769434365,0.055,0.030000000000000002,0.06666666666666667,0.05131601439446884,0.5722833333333334,0.003110122920936335,0.5452595549502569,0.009046311259488038,0.5722833333333334,0.003110122920936335,0.5505555555555555,0.020165690977315714,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,186.66666666666666,10.263202878893768,0.34,0.027838821814150105,0.021666666666666667,0.018929694486000914
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,conditional_max | full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,6.570335063123905,0.3806081608724651,56.5530306920135,14.130245034599612,0.055,0.013228756555322957,0.7683333333333332,0.02466441431158126,0.9254000000000001,0.00731368580129059,0.9409425870159445,0.006300026681139945,0.9254000000000001,0.00731368580129059,0.938888888888889,0.004455281925651481,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,46.333333333333336,4.932882862316248,0.8916666666666667,0.012583057392117928,0.745,0.02291287847477922
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,relational_max | full | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,1.607312492223131,0.46954375487359784,58.44267898830007,15.161917675638659,0.05000000000000001,0.020000000000000004,0.7966666666666667,0.057951128835712365,0.9431249999999999,0.012824561396008816,0.9551837990249066,0.009499754655342517,0.9431249999999999,0.012824561396008816,0.9362499999999999,0.010316182002616494,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,40.666666666666664,11.590225767142474,0.8883333333333333,0.023094010767585053,0.7733333333333333,0.060069404303133664
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,query random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,2.86102294921875e-06,9.5367431640625e-07,0.014202680332042897,0.00033594140909988204,0.00914536100147719,5.3932721867439886e-05,400.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,802.0,0.0,32.0,0.0,1.0,0.0,0.014051666666666665,0.0003045658111694964,320800.0,0.0,25600.0,0.0,1600.0,0.0,51200.0,0.0,0.6061884959538778,0.08968497163138664,0.907453457514445,0.07221351700259497,0.8479338685671488,0.12946500284671922,-0.9791876673698425,0.30783842060121674,1.6681527296702068,0.0448343134430337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,known-law error random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3296499508494874,0.07655047478664635,2.4832836228100077,0.04974539961566882,13.506350360159933,4.260866214227541,0.2947337135535349,0.05979265206580089,0.12528854530253522,0.005520666213245706,0.3675208575111201,0.023582925261418156,3.666456880824523,1.5466443525384042,0.9456038039170144,0.011308955759386457,2.2043614181301545,0.07195141380994526,2.374999558069073,0.04320099116373232,10.481831989205473,2.6387875262665417,0.2951527841668032,0.059781629779199465,-4.396994164768135,0.14843211216632266,4.480892868699155,0.10256390970649917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,joint | random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,22.677825927734375,2.4329639486944337,34.33447392781576,10.835888182414823,0.056666666666666664,0.03883726732577015,0.056666666666666664,0.03883726732577015,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,independent | random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,23.533789316813152,2.387554035312908,35.45535786946615,10.926702135931503,0.05666666666666667,0.04645786621588784,0.05666666666666667,0.04645786621588784,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,marginal_max | random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,9.487478256225586,1.2183730595846285,14.1473388671875,3.9872688436211656,0.06,0.04272001872658765,0.06,0.04272001872658765,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,conditional_max | random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,8.978657086690268,1.2838454787679108,13.558212280273438,3.7620540424936397,0.06,0.05,0.06,0.05,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,relational_max | random1:0 | circuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,1.1833165486653645,0.1690279106161938,4.014740943908691,0.5440164320502616,0.06166666666666667,0.015275252316519466,0.06166666666666667,0.015275252316519466,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,query random1:0 | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,0.0,0.0,0.0012900416659249458,5.731294283935833e-05,0.001161707998107886,4.631929503052144e-05,400.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,4.627316966401856,0.16307299118556964,4.712017089467656,0.11676318793947561,3.026830896452991,0.2586339937212524,0.4658740226593728,0.3384785170764952,9.77032003486938,0.6432838298811988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,known-law error random1:0 | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,joint | random1:0 | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,14.935343620961225,0.6200248163381805,13.974248921396907,2.140536873776643,0.056666666666666664,0.02254624876411447,0.056666666666666664,0.02254624876411447,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
diagnosis_optimization,interface_lr-0.02_epochs-60,synthetic,diagnosis,independent | random1:0 | known_law_oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"[11, 12, 13]",interface,0.02,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05000000000000001,8.498374721940739e-18,200.0,0.0,23.064225268769338,1.4580430040976473,29.455796539991923,8.71210378294894,0.049999999999999996,0.04272001872658766,0.049999999999999996,0.04272001872658766,0.5,0.0,0.5,0.0,0.5,0.0,,,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
